3-Dec-01,9848.93,10220.78,9651.87,10021.57
1-Nov-01,9087.45,10054.58,8987.61,9851.56
1-Oct-01,8845.97,9626.54,8659.9,9075.14
4-Sep-01,9946.98,10238.5,7926.93,8847.56
1-Aug-01,10527.38,10663.07,9829.35,9949.75
2-Jul-01,10504.95,10758.14,10049.38,10522.81
1-Jun-01,10913.57,11236.68,10313.4,10502.4
1-May-01,10734.05,11436.42,10638.48,10911.94
2-Apr-01,9877.16,10973.15,9303.48,10734.97
1-Mar-01,10493.25,10940.45,9047.56,9878.78
1-Feb-01,10884.82,11140.09,10225.14,10495.28
2-Jan-01,10790.92,11224.41,10325.71,10887.36
1-Dec-00,10416.76,11044.7,10158.16,10787.99
1-Nov-00,10966.21,11152.02,10204.8,10414.49
2-Oct-00,10659.06,11108.79,9571.4,10971.14
1-Sep-00,11219.54,11518.83,10439.31,10650.92
1-Aug-00,10523.81,11415.99,10428.58,11215.1
3-Jul-00,10450.36,10980.34,10303.28,10521.98
1-Jun-00,10532.27,11013.05,10161.51,10447.89
1-May-00,10749.42,11086.72,10163.2,10522.33
3-Apr-00,10863.28,11600.43,10128.62,10733.91
1-Mar-00,10128.11,11311.28,9611.75,10921.92
1-Feb-00,10937.74,11228.44,9760.36,10128.31
3-Jan-00,11501.85,11908.5,10610.43,10940.53
1-Dec-99,10876.47,11658.68,10798.07,11497.12
1-Nov-99,10730.78,11195.34,10449.42,10877.81
1-Oct-99,10335.69,10883.1,9884.2,10729.86
1-Sep-99,10828.44,11218.39,10055.17,10336.95
2-Aug-99,10654.83,11428.94,10487.34,10829.28
1-Jul-99,10972.39,11321.61,10594.99,10655.15
1-Jun-99,10549.08,11120.24,10334.42,10970.8
3-May-99,10788.75,11244.36,10372.96,10559.74
1-Apr-99,9825.29,11072.25,9707.91,10789.04
1-Mar-99,9315.27,10158.57,9163.41,9786.16
1-Feb-99,9405.43,9662.77,9025.41,9306.58
4-Jan-99,9212.84,9759.44,8994.26,9358.83
1-Dec-98,9039.57,9390.75,8610.63,9181.43
2-Nov-98,8645.65,9457.95,8573.56,9116.55
1-Oct-98,7749.42,8718.25,7399.78,8592.1
1-Sep-98,7583.09,8253.79,7379.7,7842.62
3-Aug-98,8868.1,8948.17,7517.7,7539.07
1-Jul-98,9011.56,9412.64,8786.48,8883.29
1-Jun-98,8907.93,9155.04,8524.55,8952.02
